"name46","reg46","name37","reg37","name36","reg36","name34","reg34","name32","reg32","name7","reg7","name5","reg5","name1","reg1","mainland","offshore"
"Puducherry 4","PY.4","Puducherry","PY","Puducherry","PY","Andhra Pradesh and part of Puducherry","APY","Andhra Pradesh and part of Puducherry","APY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,FALSE
"Puducherry 5","PY.5","Puducherry","PY","Puducherry","PY","Tamil Nadu and part of Puducherry","TNY","Tamil Nadu and part of Puducherry","TNY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,FALSE
"Puducherry 6","PY.6","Puducherry","PY","Puducherry","PY","Tamil Nadu and part of Puducherry","TNY","Tamil Nadu and part of Puducherry","TNY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,FALSE
"Puducherry 7","PY.7","Puducherry","PY","Puducherry","PY","Kerala and part of Puducherry","KLY","Kerala and part of Puducherry","KLY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,FALSE
"Puducherry 8","PY.8","Puducherry","PY","Puducherry","PY","Tamil Nadu and part of Puducherry","TNY","Tamil Nadu and part of Puducherry","TNY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,FALSE
"Puducherry 9","PY.9","Puducherry","PY","Puducherry","PY","Tamil Nadu and part of Puducherry","TNY","Tamil Nadu and part of Puducherry","TNY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,FALSE
"Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Andaman and Nicobar","AN","Eastern Region","EAST","India","IND",FALSE,TRUE
"Andhra Pradesh","AP","Andhra Pradesh","AP","Andhra Pradesh","AP","Andhra Pradesh and part of Puducherry","APY","Andhra Pradesh and part of Puducherry","APY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,TRUE
"Daman","DM","Daman","DM","Daman and Diu","DD","Gujarat, Daman, and Diu","GJD","Gujarat, Daman, Diu, Dadara, and Nagar","GJN","Western Region","WEST","Western Region","WEST","India","IND",TRUE,TRUE
"Diu","DU","Diu","DU","Daman and Diu","DD","Gujarat, Daman, and Diu","GJD","Gujarat, Daman, Diu, Dadara, and Nagar","GJN","Western Region","WEST","Western Region","WEST","India","IND",TRUE,TRUE
"Goa","GA","Goa","GA","Goa","GA","Goa","GA","Goa","GA","Western Region","WEST","Western Region","WEST","India","IND",TRUE,TRUE
"Gujarat","GJ","Gujarat","GJ","Gujarat","GJ","Gujarat, Daman, and Diu","GJD","Gujarat, Daman, Diu, Dadara, and Nagar","GJN","Western Region","WEST","Western Region","WEST","India","IND",TRUE,TRUE
"Karnataka","KA","Karnataka","KA","Karnataka","KA","Karnataka","KA","Karnataka","KA","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,TRUE
"Kerala","KL","Kerala","KL","Kerala","KL","Kerala and part of Puducherry","KLY","Kerala and part of Puducherry","KLY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,TRUE
"Lakshadweep","LD","Lakshadweep","LD","Lakshadweep","LD","Lakshadweep","LD","Lakshadweep","LD","Lakshadweep","LD","Southern Region","SOUTH","India","IND",FALSE,TRUE
"Maharashtra","MH","Maharashtra","MH","Maharashtra","MH","Maharashtra","MH","Maharashtra","MH","Western Region","WEST","Western Region","WEST","India","IND",TRUE,TRUE
"Odisha","OR","Odisha","OR","Odisha","OR","Odisha","OR","Odisha","OR","Eastern Region","EAST","Eastern Region","EAST","India","IND",TRUE,TRUE
"Puducherry 0","PY.0","Puducherry","PY","Puducherry","PY","Tamil Nadu and part of Puducherry","TNY","Tamil Nadu and part of Puducherry","TNY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,TRUE
"Puducherry 1","PY.1","Puducherry","PY","Puducherry","PY","Tamil Nadu and part of Puducherry","TNY","Tamil Nadu and part of Puducherry","TNY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,TRUE
"Tamil Nadu","TN","Tamil Nadu","TN","Tamil Nadu","TN","Tamil Nadu and part of Puducherry","TNY","Tamil Nadu and part of Puducherry","TNY","Southern Region","SOUTH","Southern Region","SOUTH","India","IND",TRUE,TRUE
"West Bengal","WB","West Bengal","WB","West Bengal","WB","West Bengal","WB","West Bengal","WB","Eastern Region","EAST","Eastern Region","EAST","India","IND",TRUE,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rest of the World","ROW",NA,NA
