case,region,region1,MW
newlines_v03,APY,OR,0
newlines_v03,APY,TG,0
newlines_v03,APY,TNY,0
newlines_v03,AR,AS,0
newlines_v03,AR,NL,0
newlines_v03,AS,ML,0
newlines_v03,BR,CT,0
newlines_v03,BR,JH,0
newlines_v03,BR,SK,0
newlines_v03,BR,UP,0
newlines_v03,CT,MP,0
newlines_v03,CT,OR,0
newlines_v03,CT,TG,0
newlines_v03,DL,HR,0
newlines_v03,DL,RJ,0
newlines_v03,DL,UP,0
newlines_v03,DL,UT,0
newlines_v03,GA,GJN,0
newlines_v03,GA,KA,0
newlines_v03,GA,KLY,0
newlines_v03,GA,MH,0
newlines_v03,GJN,MH,0
newlines_v03,GJN,MP,0
newlines_v03,GJN,RJ,0
newlines_v03,HP,JK,0
newlines_v03,HP,PBH,0
newlines_v03,HP,UT,0
newlines_v03,HR,PBH,0
newlines_v03,JH,OR,0
newlines_v03,JH,WB,0
newlines_v03,KA,KLY,0
newlines_v03,KA,TG,0
newlines_v03,KA,TNY,0
newlines_v03,KLY,TNY,0
newlines_v03,MH,MP,0
newlines_v03,MH,TG,0
newlines_v03,ML,SK,0
newlines_v03,ML,TR,0
newlines_v03,MN,MZ,0
newlines_v03,MN,NL,0
newlines_v03,MP,RJ,0
newlines_v03,MP,UP,0
newlines_v03,MZ,TR,0
newlines_v03,OR,WB,0
newlines_v03,PBH,RJ,0
newlines_v03,SK,WB,0
newlines_v03,TR,WB,0
newlines_v03,UP,UT,0
