case,region,region1,MW
newlines_v01,APY,KA,0
newlines_v01,APY,OR,0
newlines_v01,APY,TG,0
newlines_v01,APY,TNY,0
newlines_v01,AR,AS,0
newlines_v01,AR,NL,0
newlines_v01,AS,ML,0
newlines_v01,AS,MZ,0
newlines_v01,AS,NL,0
newlines_v01,BR,CT,0
newlines_v01,BR,JH,0
newlines_v01,BR,MP,0
newlines_v01,BR,SK,0
newlines_v01,BR,UP,0
newlines_v01,BR,WB,0
newlines_v01,CT,MH,0
newlines_v01,CT,MP,0
newlines_v01,CT,OR,0
newlines_v01,CT,TG,0
newlines_v01,CT,UP,0
newlines_v01,DL,HR,0
newlines_v01,DL,MP,0
newlines_v01,DL,RJ,0
newlines_v01,DL,UP,0
newlines_v01,DL,UT,0
newlines_v01,GA,GJN,0
newlines_v01,GA,KA,0
newlines_v01,GA,KLY,0
newlines_v01,GA,MH,0
newlines_v01,GJN,MH,0
newlines_v01,GJN,MP,0
newlines_v01,GJN,RJ,0
newlines_v01,HP,HR,0
newlines_v01,HP,JK,0
newlines_v01,HP,PBH,0
newlines_v01,HP,UT,0
newlines_v01,HR,PBH,0
newlines_v01,HR,RJ,0
newlines_v01,JH,MP,0
newlines_v01,JH,OR,0
newlines_v01,JH,WB,0
newlines_v01,JK,PBH,0
newlines_v01,KA,KLY,0
newlines_v01,KA,MH,0
newlines_v01,KA,TG,0
newlines_v01,KA,TNY,0
newlines_v01,KLY,TNY,0
newlines_v01,MH,MP,0
newlines_v01,MH,RJ,0
newlines_v01,MH,TG,0
newlines_v01,ML,MN,0
newlines_v01,ML,SK,0
newlines_v01,ML,TR,0
newlines_v01,MN,MZ,0
newlines_v01,MN,NL,0
newlines_v01,MP,RJ,0
newlines_v01,MP,TG,0
newlines_v01,MP,UP,0
newlines_v01,MZ,TR,0
newlines_v01,NL,TR,0
newlines_v01,OR,TG,0
newlines_v01,OR,UP,0
newlines_v01,OR,WB,0
newlines_v01,PBH,RJ,0
newlines_v01,RJ,UP,0
newlines_v01,SK,WB,0
newlines_v01,TR,WB,0
newlines_v01,UP,UT,0
